geoid,name,population
35620,"New York-Newark-Jersey City, NY-NJ-PA",20182305
31080,"Los Angeles-Long Beach-Anaheim, CA",13340068
16980,"Chicago-Naperville-Elgin, IL-IN-WI",9551031
19100,"Dallas-Fort Worth-Arlington, TX",7102796
26420,"Houston-The Woodlands-Sugar Land, TX",6656947
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6097684
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6069875
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",6012331
12060,"Atlanta-Sandy Springs-Roswell, GA",5710795
14460,"Boston-Cambridge-Newton, MA-NH",4774321
41860,"San Francisco-Oakland-Hayward, CA",4656132
38060,"Phoenix-Mesa-Scottsdale, AZ",4574531
40140,"Riverside-San Bernardino-Ontario, CA",4489159
19820,"Detroit-Warren-Dearborn, MI",4302043
42660,"Seattle-Tacoma-Bellevue, WA",3733580
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3524583
41740,"San Diego-Carlsbad, CA",3299521
45300,"Tampa-St. Petersburg-Clearwater, FL",2975225
19740,"Denver-Aurora-Lakewood, CO",2814330
41180,"St. Louis, MO-IL",2811588
12580,"Baltimore-Columbia-Towson, MD",2797407
16740,"Charlotte-Concord-Gastonia, NC-SC",2426363
38900,"Portland-Vancouver-Hillsboro, OR-WA",2389228
36740,"Orlando-Kissimmee-Sanford, FL",2387138
41700,"San Antonio-New Braunfels, TX",2384075
38300,"Pittsburgh, PA",2353045
40900,"Sacramento-Roseville-Arden-Arcade, CA",2274194
41980,"San Juan-Carolina-Caguas, PR",2242285
17140,"Cincinnati, OH-KY-IN",2157719
29820,"Las Vegas-Henderson-Paradise, NV",2114801
28140,"Kansas City, MO-KS",2087471
17460,"Cleveland-Elyria, OH",2060810
18140,"Columbus, OH",2021632
12420,"Austin-Round Rock, TX",2000860
26900,"Indianapolis-Carmel-Anderson, IN",1988817
41940,"San Jose-Sunnyvale-Santa Clara, CA",1976836
34980,"Nashville-Davidson-Murfreesboro-Franklin, TN",1830345
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1724876
39300,"Providence-Warwick, RI-MA",1613070
33340,"Milwaukee-Waukesha-West Allis, WI",1575747
27260,"Jacksonville, FL",1449481
36420,"Oklahoma City, OK",1358452
