MSA,NUM,PercentbyFemale,Percent by fertility,HighSchool,Bachelor,MedianIncome,Poverty,Unmarried,White,Black,AmericanIndian,Asian
10180,15,0.000184643,0.006095083,82.3,21.4,42286,11.8,49.6,0.810652883,0.073700733,0.005107547,0.01227528
10380,2,1.26E-05,0.000704722,59,16.5,13489,52.4,55.4,0.876583537,0.031022293,0.001778801,0.001303376
10420,21,5.79E-05,0.002483737,89.7,28.3,48570,9.6,49.8,0.837722748,0.119907324,0.001531803,0.019247809
10500,18,0.000218375,0.006810443,79.1,17.3,36828,19.2,57.5,0.455849119,0.516746229,0.002037733,0.009134884
10580,25,5.63E-05,0.002364961,90.4,32.6,57781,6.6,51.8,0.857182944,0.072715137,0.002669801,0.029865517
10740,87,0.000198266,0.00684662,86.1,29.5,48107,11.6,52.4,0.690748291,0.025792047,0.057252382,0.020775606
10780,4,5.15E-05,0.001634655,81.8,18.3,40571,13.7,52.2,0.665532054,0.295320544,0.007384817,0.009680275
10900,32,7.69E-05,0.003006106,86.8,25.9,56908,7.4,47.1,0.858682039,0.046945483,0.001725312,0.024633417
11020,15,0.000229193,0.010909091,89.7,17.3,42363,9.3,48.9,0.964177507,0.017210851,0.0006217,0.005886473
11100,15,0.000121806,0.003624064,83.5,22.6,46384,11.9,49.1,0.816039025,0.059956684,0.007382422,0.023762425
11180,3,7.10E-05,0.002714932,95.3,47.2,48248,5.5,56.5,0.891967486,0.023654588,0.001347124,0.060860333
11260,13,7.19E-05,0.00182764,91.9,30.2,71769,6,48.4,0.719209911,0.043687265,0.059720858,0.059275706
11300,16,0.000242597,0.008767123,86.4,16.6,43256,11.2,51.4,0.882893095,0.070334135,0.000973799,0.004321232
11340,8,8.41E-05,0.003297609,80.6,18,42871,12.4,45.3,0.808689593,0.157362092,0.001170444,0.006010093
11460,34,0.000195479,0.007798165,93.6,50.8,59065,7.1,54.4,0.749397436,0.124280776,0.003439483,0.079131378
11500,7,0.000115062,0.003480855,78.5,16.1,38407,15.2,50.6,0.755029919,0.204252704,0.004379039,0.006956952
11540,20,0.000179599,0.006802721,92.2,25.7,57036,5.3,41,0.93091802,0.007370963,0.013698569,0.026542663
11700,18,8.35E-05,0.003176844,86.3,28.1,44059,9.3,44.9,0.90015999,0.047134593,0.004384111,0.008323804
12020,18,0.000184513,0.007521939,82.4,34.4,40627,13.6,59.2,0.736603646,0.198065971,0.001010946,0.029767324
12060,416,0.000158424,0.005190722,87,34.4,57550,9.6,49.7,0.568981796,0.319590417,0.002429215,0.046978476
12100,3,2.13E-05,0.000824176,84.7,23.6,54766,8.8,52.6,0.656116151,0.160728798,0.002233107,0.073564405
12220,6,8.79E-05,0.00298359,85.2,30.9,40894,11,55.1,0.727309088,0.227946078,0.003718243,0.025309236
12260,42,0.000150194,0.005500982,83.4,23.2,44354,14.1,52.2,0.59090742,0.356782682,0.002501011,0.01704583
12420,156,0.00019242,0.005763689,87.2,39.5,57561,9,50.4,0.717372698,0.074772775,0.005091022,0.047787777
12540,52,0.000131735,0.003522558,71.1,14.7,47089,16.8,51.8,0.658838558,0.055502499,0.010257536,0.039349363
12580,66,4.74E-05,0.00170525,87.3,34.6,66195,6.5,52.9,0.634179475,0.285165626,0.002602901,0.042854694
12620,3,3.86E-05,0.001869159,89.5,23.3,42658,10.1,49.7,0.9550852,0.00663685,0.01029856,0.009801614
12700,1,8.78E-06,0.000454339,94.7,40.5,60317,5,43.9,0.939038913,0.019229089,0.004542884,0.010345636
12940,29,7.22E-05,0.002393924,84.5,25.5,48536,11.4,54.3,0.605489358,0.356711817,0.002214577,0.017252123
12980,4,5.70E-05,0.002141328,87.1,18.8,42568,12.4,50.6,0.83250919,0.108203512,0.005987806,0.016169263
13020,5,9.02E-05,0.00393391,87.4,18,44659,9.2,46.9,0.941057362,0.01462702,0.003106624,0.005566034
13140,16,8.39E-05,0.002777778,82.9,16.3,45029,13.5,50.8,0.659984971,0.246165327,0.003518096,0.024509664
13380,1,1.01E-05,0.000431034,90.7,31.7,49031,7.8,49.5,0.875597598,0.01110754,0.027781604,0.03711357
13460,5,6.40E-05,0.002912056,92.9,29.1,53071,7.6,40.6,0.934714818,0.00326717,0.011134258,0.011173076
13740,18,0.000228702,0.006825939,91.4,28.9,48661,7.9,45.4,0.914232297,0.006764301,0.036814157,0.007452416
13780,7,5.44E-05,0.002205419,88.5,24.6,46038,10,52,0.904370274,0.036077262,0.002712338,0.027428712
13820,52,9.00E-05,0.003485488,84.9,26.5,47760,10.3,49.8,0.682873369,0.280446622,0.002463502,0.012065604
13900,0,0,0,90.9,29.7,52882,6.1,43.7,0.937926589,0.004502882,0.035112999,0.003564386
13980,10,0.000125447,0.005777008,84.6,28.9,41377,9.8,57,0.89878457,0.043847391,0.000652121,0.03514623
14020,7,7.36E-05,0.003339695,88.3,31.6,39915,10.3,57.1,0.911699593,0.025203024,0.002324807,0.037730565
14010,22,0.000255814,0.009124844,93.4,40.4,57642,6.2,51.9,0.850431298,0.071377155,0.001685602,0.040010558
14260,23,7.69E-05,0.00212963,89.1,28.5,50998,9,43.4,0.918826516,0.007814875,0.006246555,0.018584337
14460,110,4.75E-05,0.001993657,90.1,42.1,69983,6.6,51.5,0.797438993,0.072210726,0.001706298,0.062965974
14500,8,5.54E-05,0.002192982,93.7,57,64839,6.5,50.7,0.872078076,0.007998566,0.003845929,0.040857821
14540,8,0.000128895,0.004018081,83.8,25.3,43088,11.9,50.9,0.86057065,0.086877672,0.002601324,0.024207909
14740,2,1.64E-05,0.000574053,92.7,28,59549,6.1,44.6,0.831278099,0.027917489,0.015266682,0.047946922
14860,55,0.000118122,0.004568865,88.3,43.6,81268,5.6,46,0.771814408,0.105180142,0.001275761,0.044632857
15180,16,7.84E-05,0.002150249,62.3,14.5,31264,30,47.7,0.894055889,0.004377919,0.001745578,0.006702815
15260,9,0.000159334,0.007860262,83.1,21.6,46440,12.7,48.5,0.725561188,0.237976517,0.000925765,0.009165987
15380,105,0.000178315,0.007718886,88.4,27.3,47093,10,53.4,0.821431398,0.121326057,0.006001235,0.021707323
15500,11,0.0001429,0.005392157,81.4,21.4,44167,12.1,48.6,0.701064785,0.181326153,0.002692559,0.01193973
15540,1,9.36E-06,0.000402739,91.5,38.7,58075,6.7,50.8,0.936789871,0.013434839,0.004599271,0.021520577
15940,11,5.27E-05,0.002188184,87.4,19.8,44788,9.5,47.8,0.897800333,0.068735907,0.002449831,0.007124988
15980,12,3.90E-05,0.001708672,86.7,24.6,50014,7.8,44.2,0.842023212,0.079529501,0.00267254,0.014068777
16020,5,0.000102189,0.004366812,83.4,23,42278,10.6,48.2,0.886169978,0.083801759,0.001145235,0.01008647
16180,0,0,0,88,21.6,52067,9.6,52.9,0.850600451,0.013598194,0.019954853,0.020117381
16220,3,8.23E-05,0.003009027,91.9,20.9,50936,5.4,46.3,0.937309576,0.007671382,0.008623504,0.007467356
16300,13,0.000101203,0.003424658,92.8,27.2,53334,5.6,46,0.922528489,0.032501738,0.002325481,0.014852438
16580,10,8.73E-05,0.003314551,91.7,37.9,46354,8.9,56.2,0.781916847,0.109769642,0.0019109,0.077218743
16620,29,0.000184638,0.008703481,83.5,20.7,42795,11.4,46.4,0.926629675,0.037782083,0.000730184,0.007877434
16700,87,0.000265176,0.009141536,87.4,29.9,50335,10.5,52.2,0.662123596,0.281325067,0.003819731,0.01570732
16740,130,0.000149866,0.005067831,86.1,32.2,53471,9.3,48.3,0.676911772,0.235585265,0.004202223,0.03029441
16820,8,7.77E-05,0.004004004,86.8,41.6,56592,6.2,51.7,0.797875091,0.128604666,0.002047861,0.036679018
16860,20,7.47E-05,0.002759001,82.6,22.6,43623,11.2,47.7,0.817340938,0.138289908,0.002743648,0.013322709
16940,2,4.47E-05,0.001919386,91.6,22.9,52824,6.7,46.2,0.869896101,0.024332836,0.011734905,0.009885565
16980,981,0.00020455,0.007018322,85.8,33.4,60574,9.1,51.2,0.650639485,0.175375115,0.00196363,0.055385165
17020,7,6.34E-05,0.002399726,85.7,24.1,43170,11.4,53.9,0.832538249,0.014727743,0.013122327,0.03974661
17140,161,0.000149091,0.005251313,87.4,28.5,53651,8.8,49,0.837080494,0.118955761,0.001577428,0.01788383
17300,5,3.77E-05,0.000922509,87.4,19,44415,12.4,44.6,0.741070311,0.184987724,0.007016252,0.017705697
17420,3,5.15E-05,0.001475652,78.6,17.8,39501,12.1,43.3,0.929145958,0.036590506,0.003784619,0.006937005
17460,65,5.99E-05,0.002546124,87.8,27,48514,10.3,52.6,0.749248654,0.199736987,0.002089535,0.019659837
17660,6,8.76E-05,0.002718623,91.4,23.2,46336,8.8,42.5,0.951487197,0.002550964,0.008082995,0.004931369
17780,20,0.000184366,0.005401026,82.9,33.9,38426,15.5,60.1,0.753585808,0.117987017,0.002460536,0.045170685
17820,13,4.16E-05,0.001342975,92.5,34.8,56358,8,45.6,0.815563038,0.057748042,0.008721775,0.025999945
17860,5,5.78E-05,0.00203666,91.5,43.6,45556,9.7,54.5,0.833048928,0.085256292,0.00425122,0.034449749
17900,108,0.000282767,0.009613673,86.9,30.1,48311,9.9,52.6,0.617819108,0.333023806,0.00241754,0.015760369
17980,29,0.000195182,0.006476105,83.3,20.4,41323,14.5,55.5,0.529951345,0.404384502,0.00289107,0.01674684
18020,4,0.000104088,0.004469274,89.2,26.7,52742,7.7,42.6,0.922114561,0.016966581,0.002333399,0.031771142
