MSA,NUM,PercentbyFemale,Percent by fertility,HighSchool,Bachelor,MedianIncome,Poverty,Insurance,Unmarried,White,Black,AmericanIndian,Asian
10180,16,0.000195046,0.006334125,83.4,21.5,44007,12.1,98.28,51.7,0.832884064,0.077506466,0.00459163,0.013950558
10380,0,0,0,61.9,18.3,14808,50.5,99.78,57.7,0.836242955,0.032104026,0.001142247,0.001685551
10420,32,8.83E-05,0.003814519,90.1,28.4,49936,10.6,99.14,51.6,0.83403038,0.119441054,0.001395516,0.020269828
10500,18,0.000217744,0.006326889,78.4,16.1,36216,20.7,99.32,59,0.445620869,0.524772574,0.001167261,0.009268305
10580,28,6.28E-05,0.002994973,91.3,33.6,60841,6.9,98.89,52.8,0.851938821,0.0758454,0.002095557,0.031974187
10740,89,0.000197694,0.007016714,87.1,29.7,48990,13.4,99.5,53.4,0.701524134,0.026739815,0.056428767,0.01954311
10780,19,0.000243593,0.009495252,81.8,17.2,40625,15,98.74,55.4,0.663209806,0.297916775,0.006421433,0.010409618
10900,33,7.84E-05,0.00319427,87.4,26.4,58111,8,98.85,48.1,0.857795155,0.050793098,0.002013947,0.025448298
11020,10,0.00015302,0.00723589,90.4,17.9,42687,9.4,98.51,50.2,0.963022976,0.017635075,0.000888833,0.007134261
11100,29,0.000231428,0.007629571,83.9,22.7,47866,11.9,99.01,49.7,0.84485501,0.060090159,0.007173572,0.026016689
11180,1,2.30E-05,0.000926784,95.4,47.7,49683,6.2,99.19,57.2,0.891178372,0.028038425,0.00145987,0.061626585
11260,15,8.03E-05,0.002255639,92.3,30,75196,5.9,98.66,50,0.711215398,0.046422034,0.061973954,0.064235049
11300,6,9.12E-05,0.003482298,87,17,44245,12.6,98.79,52.3,0.88382707,0.067149736,0.00088385,0.0047926
11340,12,0.000123922,0.004916018,81.4,18.5,42659,12.9,99.14,46.9,0.806738308,0.160344607,0.001271177,0.007440126
11460,31,0.000176897,0.007540744,93.9,50.8,59063,7.5,99.33,55,0.747868559,0.12249357,0.002939221,0.079136441
11500,2,3.27E-05,0.001232286,78.8,16,40093,16.1,99.12,51.5,0.750250352,0.207249181,0.002698712,0.007018348
11540,18,0.000159413,0.00617284,92.7,26.4,59154,5.3,99.36,42.5,0.928545165,0.008762409,0.01275821,0.028227539
11700,14,6.36E-05,0.002767892,86.9,29.3,44249,10.9,98.69,47.1,0.904409257,0.046432544,0.004414196,0.009268165
12020,12,0.000119826,0.005338078,83.8,34.7,41035,14.8,99.41,59.9,0.737316938,0.193131204,0.001081171,0.0313436
12060,359,0.000132264,0.004332505,87.6,34.9,57470,11.2,99.44,51,0.563613288,0.324384163,0.002750155,0.048900722
12100,11,7.79E-05,0.003448276,83.7,24.1,54559,10.1,99.19,53.6,0.659470412,0.162998083,0.003159598,0.076340551
12220,1,1.40E-05,0.000516262,86,31.3,43189,11.5,99.54,55,0.71874867,0.229349075,0.003554755,0.027203451
12260,61,0.000213394,0.007617383,84.6,23.5,45762,15,98.82,53.2,0.586704445,0.3572175,0.002889011,0.017637511
12420,134,0.000155183,0.003821147,87.8,40,59646,9.9,99.31,51.2,0.75558054,0.074451272,0.00526569,0.048883892
12540,50,0.00012295,0.003395816,71.6,14.9,47727,18.5,99.52,52.7,0.71473021,0.055590578,0.011649842,0.041054492
12580,60,4.26E-05,0.001550868,88.5,35.5,68616,7.4,98.93,53.5,0.625982361,0.287138991,0.002564395,0.045975365
12620,5,6.40E-05,0.003172589,90.4,23.4,43382,10.6,99.05,50.1,0.953038207,0.007395507,0.010725761,0.009203731
12700,1,8.85E-06,0.000565611,94.8,39.9,60424,6,98.63,45.6,0.934890589,0.021007217,0.003865365,0.011151694
12940,78,0.000191028,0.006809848,85.6,26.5,51383,11.6,98.93,55.2,0.603505282,0.356252391,0.002414041,0.018175723
12980,6,8.61E-05,0.00373599,88.6,18.9,42164,12.7,98.98,51.4,0.829961121,0.109397852,0.005490104,0.016315971
13020,2,3.64E-05,0.001727116,88.6,18.6,46068,9.3,99.05,47.1,0.942889263,0.012561203,0.003205337,0.005509463
13140,16,8.32E-05,0.002891218,83.6,16.4,45955,14.4,99.23,51.8,0.671021806,0.244041397,0.003962104,0.025456324
13380,1,9.84E-06,0.000423549,91.1,31.9,51639,9.2,99.51,50.7,0.869332287,0.00893726,0.026811781,0.037352783
13460,9,0.000112027,0.005464481,93,30.5,51468,9.7,99.71,42.4,0.932523099,0.003052541,0.007691146,0.011391959
13740,28,0.000347054,0.013238771,92.5,28.8,50415,8.2,98.66,48.2,0.909300591,0.005870532,0.037820383,0.008309742
13780,11,8.61E-05,0.003556418,89.8,25.4,48114,10,98.64,52.3,0.901715174,0.0385426,0.003191299,0.029124086
13820,54,9.24E-05,0.003493563,85.5,27,48420,11.8,99.19,50.6,0.673483481,0.283634417,0.002576915,0.013024635
13900,2,3.61E-05,0.001108033,92,30.8,58858,5.9,98.57,44.4,0.933644176,0.005430609,0.036789175,0.003867252
13980,3,3.74E-05,0.001872659,85.2,30,43131,9.9,99.15,57.4,0.895905549,0.043218526,0.001505765,0.035480739
14020,14,0.000144707,0.006490496,88.9,32.5,40240,11.2,99.17,57.6,0.906214478,0.02353332,0.003301101,0.040059586
14060,16,0.000183234,0.006884682,94.2,41.8,61049,6.3,99.18,52.9,0.847856962,0.071884447,0.001756154,0.042801832
14260,61,0.000196808,0.005753631,89.5,28.7,50619,10.7,99.46,44.7,0.918977499,0.007541743,0.006474957,0.019405505
14460,163,6.92E-05,0.002925761,90.5,42.8,72769,6.9,99.08,52,0.790366882,0.075125014,0.001708711,0.065888156
14500,11,7.44E-05,0.003026135,94,58,67403,6.4,99.38,51.1,0.877255079,0.008973212,0.003936505,0.040128794
14540,9,0.000140533,0.006465517,84.7,25.6,42695,12.8,99.16,52.8,0.848373674,0.084048027,0.002644368,0.025284289
14740,5,4.04E-05,0.001406866,93.4,28.9,61776,7,98.83,45.9,0.824148767,0.027032617,0.015011933,0.047279236
14860,50,0.000105942,0.004493978,89,44.6,82614,6.1,98.86,47.4,0.761645547,0.108686331,0.001566016,0.046664896
15180,22,0.000104557,0.002863092,63,14.9,32558,30,99.55,49.4,0.906100996,0.005564057,0.001505597,0.006766563
15260,2,3.42E-05,0.001638002,84.3,21.3,45979,14.2,99.41,50,0.712066842,0.234168854,0.00229411,0.009783443
15380,102,0.000173713,0.007855218,89.4,28.5,49572,10.4,98.9,54.2,0.817189546,0.12096853,0.005969644,0.023792266
15500,8,0.000100977,0.004210526,82,21.8,44155,12.3,99.12,50.1,0.699331878,0.180452471,0.002474036,0.012634782
15540,3,2.78E-05,0.001170503,92.5,40.1,61603,6.7,99.21,51,0.931808622,0.014642147,0.004230058,0.021934862
15940,8,3.84E-05,0.0015273,88.4,20,45419,10.8,98.56,48.8,0.895569221,0.067988556,0.001988027,0.007215253
15980,17,5.35E-05,0.002379619,87.1,24.6,48453,9.7,99.38,47.4,0.843056613,0.08093182,0.003999007,0.015182126
16020,5,0.000101603,0.003660322,85,23.4,42833,12,98.29,48.7,0.882069295,0.08571488,0.001953734,0.010319456
16180,2,7.51E-05,0.003802281,86.3,20.9,53987,10,99.03,52.3,0.849014207,0.009694839,0.022125979,0.030280516
16220,1,2.66E-05,0.001048218,92.1,22,55786,6.3,98.96,46.6,0.933509937,0.008421635,0.009818651,0.007630871
16300,9,6.89E-05,0.002461707,93.2,28.4,56542,6.1,99.01,47.2,0.916995253,0.034969306,0.002698273,0.015149758
16580,7,6.02E-05,0.002578269,92.9,38.9,46830,9.7,99.09,57.3,0.778234875,0.11009907,0.001735339,0.079717684
16620,29,0.000185085,0.009351822,85,21.6,46053,11.7,99.42,47.9,0.922722413,0.029622198,0.000944094,0.008388296
16700,89,0.000259997,0.008998989,87.6,30.9,51546,11.4,99.25,52.9,0.669195719,0.276860288,0.00469546,0.01571679
16740,134,0.000147488,0.00496425,86.9,32.8,54152,10.7,99.4,49.2,0.672372077,0.237759079,0.004522625,0.032037666
16820,3,2.84E-05,0.001469868,87.6,43,59526,6.4,98.16,51.7,0.79776533,0.128983849,0.002981541,0.036892858
16860,12,4.40E-05,0.001754899,83.6,23.3,44306,12,99.18,48.8,0.815087758,0.139231312,0.002759771,0.014033409
16940,2,4.35E-05,0.001702128,92.7,24.2,54596,7.4,98.27,46.4,0.875096763,0.027584252,0.011197244,0.009616328
16980,805,0.000166476,0.006043407,86.4,34.3,61367,10,99.29,52.1,0.664021707,0.172839019,0.002291359,0.056991492
17020,4,3.60E-05,0.001271456,86.7,24,43339,12.9,99.22,55.2,0.838946665,0.01456604,0.010340707,0.04198527
17140,183,0.000168104,0.006027867,88.4,29.2,54779,9.8,99.06,49.8,0.832750869,0.120813525,0.001859378,0.019098531
17300,5,3.63E-05,0.00091878,88.3,19.6,45192,13.7,98.08,44.9,0.743108701,0.182490051,0.005987522,0.017762132
17420,1,1.69E-05,0.000409165,80.7,16.8,40207,13.1,99.25,45.4,0.928895978,0.036082252,0.001793335,0.007371643
17460,62,5.75E-05,0.002579679,88.4,27.8,48952,11.2,98.9,53.4,0.747348209,0.199914306,0.001972697,0.020108212
17660,9,0.000127407,0.004055881,92.2,23.8,49151,9.1,99.5,43.1,0.950849493,0.002034756,0.012115068,0.006341537
17780,23,0.000203738,0.006196121,83.2,34,38599,15.7,98.69,60.6,0.756279543,0.118831827,0.00333563,0.046058031
17820,10,3.09E-05,0.001001904,93.5,35.1,57549,8.9,98.29,45.8,0.820850213,0.05900811,0.007792823,0.025260883
17860,9,0.000100681,0.003365744,92.4,45.7,47383,9.6,99.24,56.2,0.830607867,0.085633065,0.002018152,0.035686691
17900,81,0.000205857,0.007353609,87.9,30.1,49200,11.1,98.16,53.5,0.612037811,0.333250793,0.002193408,0.016470763
17980,31,0.000204066,0.006291861,84.2,21.2,41971,14.6,98.62,56.4,0.528637381,0.402899018,0.002513289,0.017391421
18020,9,0.000230044,0.009384776,89.1,26.6,54481,8.2,98.58,43.6,0.900138427,0.018241329,0.002522737,0.036663777
18140,179,0.00019108,0.006359696,90.1,33.4,54628,10.6,99.02,51.5,0.780411755,0.148275223,0.001956781,0.031807884
18580,38,0.000174124,0.006096583,79.3,19.5,47108,14.3,99.1,53.6,0.871948308,0.035750307,0.00359646,0.01496817
18700,2,4.69E-05,0.002185792,94,48.6,48635,8.8,99.68,55.9,0.881825944,0.010058362,0.007204594,0.055414557
18880,7,7.67E-05,0.00241213,91.2,27.2,54118,9.7,98.27,47.6,0.810937841,0.088822246,0.005823337,0.032093784
19060,2,3.97E-05,0.001992032,86.8,15.5,37522,10.6,98.72,54.6,0.908339338,0.065261846,0.00116852,0.006407385
19100,502,0.000154787,0.004289828,83.4,31.4,58190,11,99.37,48.6,0.687829969,0.149250537,0.005023606,0.054274627
19140,0,0,0,69,12.9,40654,16.5,99.19,46.6,0.878098838,0.030277811,0.002955137,0.007123361
19180,5,0.000121575,0.00533049,85.8,13.9,40961,14.2,98.91,53.4,0.830794348,0.130280004,0.001939531,0.005781766
19260,2,3.60E-05,0.001558846,77.6,14.9,36971,15.1,98.8,50.8,0.641071144,0.325521347,0.000525807,0.005652423
19340,19,9.83E-05,0.003778087,89.6,24.9,51005,8.5,99.01,48.7,0.862174938,0.069140322,0.002557046,0.015634587
19380,68,0.0001565,0.006532181,88.9,25.3,47421,11,98.6,51.8,0.801413481,0.150254196,0.001347247,0.019218739
19460,13,0.000166041,0.006642821,81.1,18.1,44463,11.6,99.27,45.9,0.814233962,0.117280653,0.020048476,0.005225505
19500,11,0.000191231,0.006221719,87.5,21.9,46165,10.9,97.54,51,0.796278876,0.159301,0.000705512,0.011451003
19660,10,3.94E-05,0.001950078,87.5,21,43419,10.9,99.02,51.7,0.822085592,0.103892199,0.003359693,0.016154776
19740,100,7.79E-05,0.00266184,89.4,38.8,62407,8.7,99.38,49.1,0.812150606,0.055809882,0.008597068,0.036435061
19780,30,0.000103076,0.003367003,92.2,34,59898,7.4,98.86,45.3,0.877619001,0.046597923,0.002179877,0.030563759
19820,209,9.42E-05,0.003760751,87.9,27.6,51903,12.2,99.38,52.9,0.703612656,0.227123575,0.003079949,0.033989319
20020,5,6.61E-05,0.002079002,81.2,17.2,40072,14.3,99.04,49.3,0.730287348,0.230208312,0.002659739,0.008549652
20100,13,0.000154286,0.005560308,84.9,20.5,55786,8.9,98.68,51.4,0.690653316,0.239721105,0.005522622,0.020763584
20220,4,8.37E-05,0.00239952,90.9,26.4,50885,7.2,98.42,45.8,0.942810527,0.014491981,0.001727521,0.011623443
20260,8,5.76E-05,0.002602472,92.5,24.7,46864,9.4,98.58,50.1,0.926192751,0.014322679,0.026655501,0.009126145
20500,34,0.000128833,0.002282492,87.2,43.7,52143,10.9,99.28,53.5,0.613824614,0.268260609,0.003939115,0.043509939
20740,2,2.49E-05,0.000942063,91.8,26,48900,8.1,99.12,49.5,0.940680908,0.011319538,0.004041807,0.025279889
20940,9,0.000106928,0.002948886,63.8,13.2,41255,20.9,99.67,53.3,0.694639944,0.032526933,0.015701465,0.015447843
21060,5,8.37E-05,0.002699784,86.8,18.6,48009,11.2,98.17,45.2,0.822416757,0.109623551,0.002771974,0.020204233
21140,9,8.97E-05,0.002675386,80.3,18.1,46712,12.7,99.13,46.1,0.850747172,0.057791074,0.003057302,0.010322177
21300,4,9.00E-05,0.004098361,88.3,20.6,48128,12.5,98.68,51.4,0.891404499,0.061343336,0.002601967,0.011083702
21340,42,0.000101863,0.00333254,73.3,20.3,39699,20.8,99.35,51.5,0.803452688,0.031477378,0.005594702,0.010574012
21500,24,0.000168435,0.007490637,89.9,24.2,45249,11.2,98.79,52.9,0.884656704,0.070165357,0.00259832,0.01141405
21660,4,2.24E-05,0.001,90.6,27.5,42628,11.2,99.65,53.9,0.892891863,0.009525461,0.011862056,0.024147655
21780,34,0.000185158,0.00727584,88.4,20.7,47577,10,98.63,47.8,0.901696977,0.060928789,0.002042399,0.007818037
21820,1,2.18E-05,0.000564972,93.3,28.6,69485,5.6,98.51,46.9,0.778739374,0.045958389,0.066220276,0.025224819
21940,0,0,0,73.1,20.2,20764,38.5,99.65,63.3,0.584797474,0.088259029,0.002279388,0.006597483
22020,8,7.67E-05,0.002424977,94.2,35.2,51411,6.4,99.12,51.4,0.918078947,0.021383804,0.013686973,0.020246012
22140,12,0.000185271,0.004997918,81.5,15.6,48701,16,99.25,50.6,0.537869362,0.006687403,0.37066874,0.003732504
22180,8,4.24E-05,0.001215067,88.3,21.6,45572,14.2,97.36,51.4,0.512461242,0.356534141,0.020122881,0.021609121
22220,19,8.13E-05,0.002776154,83.4,26.5,46428,11.3,99.35,44.7,0.841178407,0.021012246,0.013412118,0.024317398
22380,2,2.96E-05,0.000949668,87.1,30.7,48320,14.4,99.75,57.5,0.626209789,0.013237719,0.272373163,0.014588355
22420,26,0.000117972,0.00486618,88.8,19,42730,15.5,99.37,54,0.748582888,0.203394015,0.005358104,0.009404308
22500,23,0.000211494,0.008315257,81,19.3,40639,16.6,98.87,54.8,0.559118774,0.412028419,0.001437524,0.008459462
22520,8,0.000104615,0.004273504,83.3,20.4,40473,12.9,99.13,46.4,0.847604079,0.123160451,0.004966696,0.006327435
22540,0,0,0,89.3,19.1,53399,6.5,97.79,44.3,0.944387017,0.010514191,0.004085571,0.009834904
22660,10,6.61E-05,0.002520797,94.1,43.5,57927,7.4,99.41,47.4,0.912892611,0.008322531,0.005713431,0.018303586
22900,13,8.63E-05,0.002932551,81.6,15.3,38652,15.9,99.08,47.2,0.820946582,0.034673495,0.036189074,0.022498454
23060,13,6.10E-05,0.002044347,89.3,24.8,50082,10.2,98.84,48.3,0.825613948,0.101995677,0.003070642,0.023269705
23420,70,0.000150339,0.004379653,72.8,19.4,45741,20,99.47,54,0.587753905,0.050913632,0.010198632,0.095398579
23460,5,9.27E-05,0.003625816,81.7,15.2,37660,14.7,98.67,48.1,0.818946097,0.150934172,0.003393502,0.006671971
23540,7,5.15E-05,0.002610966,89.9,39.1,42311,12,99.41,61.6,0.717885015,0.191540213,0.002295613,0.050752682
23580,14,0.000154912,0.004270897,78.5,22.1,52174,13.3,99.31,45,0.817321145,0.074074689,0.003732767,0.017961522
24020,3,4.68E-05,0.002209131,88.7,22.3,52908,9,98.99,47.7,0.95539097,0.020084156,0.002849202,0.006404882
24140,0,0,0,81.7,15.8,41233,16.4,98.02,51.6,0.574077553,0.317491566,0.001584721,0.009720713
24220,1,2.08E-05,0.000676133,91.4,29.7,47429,7.8,98.4,52.2,0.914225558,0.017698035,0.023953375,0.015409496
24300,3,4.08E-05,0.001271186,89.8,25.1,51029,9,99.33,45,0.902314379,0.006522837,0.010807713,0.006618359
