MSA,NUM,PercentbyFemale,HighSchool,Bachelor,MedianIncome,Poverty,Insurance,Unmarried,White,Black,AmericanIndian,Asian
10180,1,1.22E-05,83.7,21.4,44446,12.3,98.73,51.6,0.832655443,0.074132682,0.003820652,0.014247723
10380,0,0,62.8,18.4,15152,49.9,98.38,57.2,0.781682768,0.029552389,0.001252725,0.002418953
10420,26,7.15E-05,90.4,28.6,50392,11,98.69,52.3,0.831877262,0.118775169,0.001435504,0.021316947
10500,12,1.46E-04,78.5,16.2,35885,21.2,98.97,59,0.442253001,0.527526292,0.001094308,0.009804233
10540,0,0,89.1,16.9,46939,12.6,99.7,45.8,0.920500136,0.004819461,0.018529852,0.009868421
10580,37,8.28E-05,91.6,34.1,61291,7.4,99.16,52.8,0.848484606,0.07793179,0.001883793,0.033956378
10740,79,1.74E-04,87.2,29.9,49339,14,100.18,53.9,0.712879279,0.026950174,0.055654633,0.02030695
10780,6,7.69E-05,81.8,17.1,40703,15.3,98.91,56.4,0.66437232,0.297112497,0.006675446,0.012351846
10900,18,4.27E-05,87.9,26.7,57823,8.3,99.13,48.6,0.853495862,0.052070397,0.002141476,0.026264642
11020,1,1.54E-05,90.9,18.4,42992,9.6,98.39,49.8,0.962155349,0.017984875,0.000756263,0.007405073
11100,13,1.02E-04,83.8,23.1,48146,12.3,99.59,49.5,0.846226967,0.060204334,0.006854346,0.027004945
11180,1,2.28E-05,95.5,47.7,50516,6.2,100.1,57.2,0.88953168,0.024077135,0.000738292,0.063019284
11260,10,5.29E-05,92.5,30.1,75992,5.8,99.96,49.9,0.706148062,0.046998624,0.064141216,0.065790835
11460,32,1.81E-04,94,51.3,59055,8.1,99.84,55.7,0.745576084,0.121643333,0.002992311,0.079923112
11500,1,1.64E-05,78.6,16.1,39962,17,98.86,52.7,0.7506159,0.207154629,0.002667482,0.007254872
11540,5,4.40E-05,92.9,26.7,59751,5.5,99.98,43,0.922244073,0.009278446,0.013312744,0.028372071
11640,4,3.91E-05,68.1,20.2,17615,45,98.93,55.8,0.871987898,0.028731009,0.001593638,0.005549906
11700,7,3.15E-05,87.8,30,44006,11.5,99.56,47.8,0.906539726,0.046335195,0.003532342,0.00912211
12020,9,8.92E-05,84.6,34.1,40702,16,100.45,59.9,0.734823839,0.194172764,0.001287985,0.033236179
12060,395,1.43E-04,87.7,34.9,56605,11.8,101.07,51.7,0.562865948,0.32603079,0.00266156,0.049923074
12100,2,1.41E-05,84.4,24.2,54235,11.5,99.42,53.7,0.66979197,0.16013602,0.002709485,0.078491417
12220,7,9.60E-05,86.7,32.5,43542,12.3,102.09,56,0.708860497,0.23037291,0.002617638,0.02916104
12260,36,1.23E-04,85,23.6,45454,15.5,99.75,53.9,0.586579517,0.35609869,0.002529289,0.017713789
