affgeoid,geoid,name,lsad,aland,awater,cartodb_id
310M200US22380,22380,"Flagstaff, AZ",M1,48222462009,109964003,132
310M200US38860,38860,"Portland-South Portland, ME",M1,5386559509,2013596284,89
310M200US29420,29420,"Lake Havasu City-Kingman, AZ",M1,34475300156,387348987,158
310M200US40900,40900,"Sacramento--Roseville--Arden-Arcade, CA",M1,13194448617,549284977,96
310M200US44860,44860,"Sulphur Springs, TX",M2,1987018485,66250918,104
310M200US47920,47920,"Washington Court House, OH",M2,1052458603,1705305,4
310M200US34380,34380,"Mount Pleasant, MI",M2,1483226507,12959575,68
310M200US42740,42740,"Sedalia, MO",M2,1766949557,10504062,63
310M200US30220,30220,"Levelland, TX",M2,2352723869,446119,64
310M200US12100,12100,"Atlantic City-Hammonton, NJ",M1,1439268066,300756302,65
310M200US36940,36940,"Owatonna, MN",M2,1112775578,6976791,66
310M200US35620,35620,"New York-Newark-Jersey City, NY-NJ-PA",M1,21482019662,6685764276,78
310M200US19980,19980,"Dodge City, KS",M2,2844508241,2097359,135
310M200US45700,45700,"Tifton, GA",M2,670826488,25333971,113
310M200US17060,17060,"Chillicothe, OH",M2,1784987920,9937474,162
310M200US34500,34500,"Mount Vernon, IL",M2,1479284971,32709430,163
310M200US12980,12980,"Battle Creek, MI",M1,1829142362,31383213,194
310M200US37020,37020,"Owosso, MI",M2,1374709532,26337568,253
310M200US21300,21300,"Elmira, NY",M1,1055038519,8874383,280
310M200US24340,24340,"Grand Rapids-Wyoming, MI",M1,6914613723,2930504867,330
310M200US28740,28740,"Kingston, NY",M1,2911755342,94599648,335
310M200US33620,33620,"Moberly, MO",M2,1250217868,13254156,373
310M200US11860,11860,"Atchison, KS",M2,1116729682,6857575,365
310M200US48980,48980,"Wilson, NC",M2,953483827,14476512,413
310M200US13300,13300,"Beeville, TX",M2,2279809443,246409,613
310M200US34540,34540,"Mount Vernon, OH",M2,1361054213,10718613,439
310M200US15100,15100,"Brookings, SD",M2,2051807032,32967600,629
310M200US45780,45780,"Toledo, OH",M1,3531459906,673620446,831
310M200US19700,19700,"Deming, NM",M2,7679795371,431978,627
310M200US45860,45860,"Torrington, CT",M2,2384267172,62137425,636
310M200US25100,25100,"Guymon, OK",M2,5286918161,19215619,646
310M200US45140,45140,"Tahlequah, OK",M2,1940958390,69624055,680
310M200US27540,27540,"Jasper, IN",M2,1972301820,38637466,832
310M200US20060,20060,"Douglas, GA",M2,1490017303,70839527,687
310M200US23580,23580,"Gainesville, GA",M1,1017306334,94561915,727
310M200US14100,14100,"Bloomsburg-Berwick, PA",M1,1588574437,23666679,728
310M200US43140,43140,"Shelby, NC",M2,1202562915,10201818,744
310M200US14660,14660,"Brainerd, MN",M2,7822137152,1425641615,747
310M200US30580,30580,"Liberal, KS",M2,1655865945,2777350,787
310M200US29020,29020,"Kokomo, IN",M1,758858966,2394188,772
310M200US29620,29620,"Lansing-East Lansing, MI",M1,4397041657,44017344,858
310M200US42980,42980,"Seymour, IN",M2,1319114198,11915575,862
310M200US15740,15740,"Cambridge, OH",M2,1352631005,15666037,918
310M200US26980,26980,"Iowa City, IA",M1,3063677693,28948927,35
310M200US47540,47540,"Wapakoneta, OH",M2,1039599291,1345175,402
310M200US12460,12460,"Bainbridge, GA",M2,1546584786,67412745,866
310M200US16340,16340,"Cedartown, GA",M2,803773281,4667495,219
310M200US10940,10940,"Alma, MI",M2,1472310523,8154053,39
310M200US14340,14340,"Boone, IA",M2,1480356898,5364811,47
310M200US28260,28260,"Kearney, NE",M2,3844462666,19147860,103
310M200US11420,11420,"Angola, IN",M2,799639437,35543662,80
310M200US28500,28500,"Kerrville, TX",M2,2857583514,10247290,81
310M200US18660,18660,"Cortland, NY",M2,1291814118,7112764,133
310M200US25700,25700,"Hays, KS",M2,2330762267,1197085,90
310M200US22780,22780,"Fort Leonard Wood, MO",M2,1416982902,11343747,150
310M200US37940,37940,"Peru, IN",M2,968246655,9184648,205
310M200US32980,32980,"Merrill, WI",M2,2276595100,72516255,190
310M200US35420,35420,"New Philadelphia-Dover, OH",M2,1470170108,9880623,290
310M200US19100,19100,"Dallas-Fort Worth-Arlington, TX",M1,24034032095,923222992,225
310M200US26300,26300,"Hot Springs, AR",M1,1755499327,147165438,235
310M200US39820,39820,"Redding, CA",M1,9778188422,186530228,242
310M200US41780,41780,"Sandusky, OH",M2,651627581,969641285,386
310M200US25220,25220,"Hammond, LA",M1,2049488335,136690773,307
310M200US16740,16740,"Charlotte-Concord-Gastonia, NC-SC",M1,13122653412,291024122,261
310M200US48580,48580,"Whitewater-Elkhorn, WI",M2,1438031617,55247150,320
310M200US40820,40820,"Ruston, LA",M2,1221806077,1897710,326
310M200US45020,45020,"Sweetwater, TX",M2,2362061403,5052652,8
310M200US18880,18880,"Crestview-Fort Walton Beach-Destin, FL",M1,5096880988,916224205,310
310M200US39260,39260,"Prineville, OR",M2,7715899859,21091937,311
310M200US45580,45580,"Thomaston, GA",M2,837697122,10663317,322
310M200US44780,44780,"Sturgis, MI",M2,1296531678,52934828,324
310M200US18780,18780,"Craig, CO",M2,12284908252,19806933,325
310M200US23660,23660,"Galesburg, IL",M2,1855506498,8834347,274
310M200US25880,25880,"Hillsdale, MI",M2,1549200384,22938645,408
310M200US10300,10300,"Adrian, MI",M2,1941339750,30699164,461
310M200US48540,48540,"Wheeling, WV-OH",M1,2443343848,49394304,516
310M200US37540,37540,"Paris, TN",M2,1455159562,81742886,660
310M200US38840,38840,"Port Clinton, OH",M2,660275573,855031761,530
310M200US15020,15020,"Brookhaven, MS",M2,1518059596,5305564,917
310M200US46020,46020,"Truckee-Grass Valley, CA",M2,2480636840,41514869,156
310M200US35380,35380,"New Orleans-Metairie, LA",M1,8292741759,12102014453,114
310M200US21980,21980,"Fallon, NV",M2,12770262136,242405724,476
310M200US32100,32100,"Marquette, MI",M2,4683959012,4185358857,477
310M200US32860,32860,"Menomonie, WI",M2,2201761906,35638621,749
310M200US33220,33220,"Midland, MI",M1,1337099894,30589736,771
310M200US31300,31300,"Lumberton, NC",M2,2457924442,5110082,495
310M200US32780,32780,"Medford, OR",M1,7209363743,46869794,501
310M200US30980,30980,"Longview, TX",M1,4610936690,68572646,519
310M200US42900,42900,"Seneca Falls, NY",M2,838399641,172832706,811
310M200US42200,42200,"Santa Maria-Santa Barbara, CA",M1,7083926264,2729818040,214
310M200US27620,27620,"Jefferson City, MO",M1,5821454772,80103971,531
310M200US44220,44220,"Springfield, OH",M1,1029469489,13070242,550
310M200US11220,11220,"Amsterdam, NY",M2,1044067645,18598488,591
310M200US37420,37420,"Pampa, TX",M2,2398261555,8700793,659
310M200US35700,35700,"Nogales, AZ",M2,3203592833,3088043,645
310M200US13100,13100,"Beatrice, NE",M2,2205274175,22014428,671
310M200US11900,11900,"Athens, OH",M2,1304308760,12538362,696
310M200US43100,43100,"Sheboygan, WI",M1,1324171516,1968280170,741
310M200US18300,18300,"Coos Bay, OR",M2,4134073500,544389275,821
310M200US24060,24060,"Glenwood Springs, CO",M2,10148500300,27903284,818
310M200US35740,35740,"Norfolk, NE",M2,4076485373,18404404,823
310M200US10100,10100,"Aberdeen, SD",M2,7352940653,111452770,824
310M200US33060,33060,"Miami, OK",M2,1219467309,35708989,916
310M200US39700,39700,"Raymondville, TX",M2,1529529770,501714610,825
310M200US34700,34700,"Muscatine, IA",M2,1133042092,30197314,865
310M200US22100,22100,"Farmington, MO",M2,1170281586,7316532,870
310M200US27600,27600,"Jefferson, GA",M2,879716467,8906623,871
310M200US32000,32000,"Marion, NC",M2,1141169581,13956750,912
310M200US34620,34620,"Muncie, IN",M1,1015596084,9803978,149
310M200US22620,22620,"Forrest City, AR",M2,1644111286,20050005,177
310M200US20300,20300,"Dumas, TX",M2,2330188757,25718180,199
310M200US18820,18820,"Crawfordsville, IN",M2,1306949763,2148469,236
310M200US11580,11580,"Arcadia, FL",M2,1649970100,6247258,237
310M200US49780,49780,"Zanesville, OH",M2,1721322173,20660209,238
310M200US11620,11620,"Ardmore, OK",M2,2129425400,30015492,239
310M200US36780,36780,"Oshkosh-Neenah, WI",M1,1125316313,373176297,288
310M200US14460,14460,"Boston-Cambridge-Newton, MA-NH",M1,9032959609,2654267921,292
310M200US26540,26540,"Huntington, IN",M2,991056674,13133729,293
310M200US32380,32380,"Mason City, IA",M2,2508196664,22377392,317
310M200US22060,22060,"Faribault-Northfield, MN",M2,1284173652,52094530,384
310M200US36220,36220,"Odessa, TX",M1,2324964731,10597931,396
310M200US11540,11540,"Appleton, WI",M1,2475441097,222466442,412
310M200US26740,26740,"Hutchinson, KS",M2,3251332269,43417474,456
310M200US13260,13260,"Bedford, IN",M2,1163341587,7149012,458
310M200US31180,31180,"Lubbock, TX",M1,6961021546,21253850,499
310M200US23240,23240,"Fredericksburg, TX",M2,2740756206,8982781,611
310M200US11780,11780,"Ashtabula, OH",M2,1818002613,1724831775,578
310M200US27160,27160,"Jackson, OH",M2,1088581998,3184785,579
310M200US48940,48940,"Wilmington, OH",M2,1058488036,9350863,688
310M200US40660,40660,"Rome, GA",M1,1320694720,22123870,5
310M200US21740,21740,"Evanston, WY",M2,5390459390,16340675,6
310M200US46620,46620,"Uvalde, TX",M2,4019520918,17321957,703
310M200US47660,47660,"Warrensburg, MO",M2,2147833526,10122990,7
310M200US21380,21380,"Emporia, KS",M2,2194958198,20561731,9
310M200US43940,43940,"Spearfish, SD",M2,2072089203,713642,17
310M200US38500,38500,"Plymouth, IN",M2,1148994017,15834723,724
310M200US33500,33500,"Minot, ND",M2,12339227540,248796584,18
310M200US33940,33940,"Montrose, CO",M2,5803364387,4923261,19
310M200US27420,27420,"Jamestown, ND",M2,5754255171,197312589,784
310M200US40540,40540,"Rock Springs, WY",M2,27004874067,166887507,25
310M200US16100,16100,"Carlsbad-Artesia, NM",M2,10815082124,56440121,33
310M200US26940,26940,"Indianola, MS",M2,1807175449,23758961,273
310M200US15940,15940,"Canton-Massillon, OH",M1,2512120841,24803454,34
310M200US43420,43420,"Sierra Vista-Douglas, AZ",M1,15968981851,137024899,218
310M200US26780,26780,"Hutchinson, MN",M2,1272904064,36406706,220
310M200US23980,23980,"Glasgow, KY",M2,2012906663,36263620,60
310M200US36830,36830,"Othello, WA",M2,4985669129,12622881,289
310M200US11100,11100,"Amarillo, TX",M1,13337908844,88038725,1
310M200US29860,29860,"Laurel, MS",M2,3551002947,15858408,2
310M200US18500,18500,"Corning, NY",M2,3601565161,34993618,3
310M200US15660,15660,"Calhoun, GA",M2,921538871,5787657,98
310M200US32940,32940,"Meridian, MS",M2,5597984957,37044251,263
310M200US44500,44500,"Stephenville, TX",M2,2805141498,17445007,264
310M200US31900,31900,"Mansfield, OH",M1,1282720857,12470874,265
310M200US19140,19140,"Dalton, GA",M1,1644571222,7253719,272
310M200US45500,45500,"Texarkana, TX-AR",M1,5290957373,213758330,10
310M200US21840,21840,"Fairfield, IA",M2,1127964783,3538407,11
310M200US46300,46300,"Twin Falls, ID",M2,6522650092,31249886,12
310M200US24700,24700,"Greensburg, IN",M2,964946208,1955479,13
310M200US25620,25620,"Hattiesburg, MS",M1,4170681152,27348064,14
