year,PheWAS_code,PheWAS_name,total_burden_in_million,publication,trial,ROI
2011,327.3,Sleep apnea,7116977,419,80,7.123479843
2011,1007,Injury to blood vessels,290012.125,2687,22,0.006705215
2011,573.7,Abnormal results of function study of liver,1317084.25,21,0,38928.77734
2011,531.4,Peptic ulcers,312509.4063,49,1,9.302288055
2011,530.5,Disorders of esophageal motility,372748.6875,176,5,0.742894113
2011,513.32,Orthopnea,47922.66406,786,16,0.000860463
2011,656.2,Other respiratory conditions of fetus and newborn,1579484.75,502,42,0.557744801
2011,501,Pneumonitis due to inhalation of food or vomitus,1292987.375,95,2,41.27554703
2011,110.1,Dermatophytosis,358127.4375,193,0,313.3034363
2011,174.2,Breast cancer [male],261798.1094,12054,381,7.04E-05
2011,643,Excessive vomiting in pregnancy,196840.5,44,0,415.0947876
2011,747.1,Cardiac congenital anomalies,696139.4375,2252,33,0.030735932
2011,451,Phlebitis and thrombophlebitis,294878.0938,53,2,3.847697258
2011,701.2,Scar conditions and fibrosis of skin,1229731.375,1091,12,0.544149816
2011,818.1,Subdural hemorrhage (injury),561177.3125,84,2,8.793117523
2011,781,Symptoms involving nervous and musculoskeletal systems,615666.875,205,29,0.300495863
2011,149.3,Cancer of hypopharynx,233999.1406,123,8,0.262014478
2011,79.1,Varicella infection,69686.63281,143,2,0.079653755
2011,41.4,E. coli,34281.92969,1078,4,0.001281838
2011,270.31,Polyclonal hypergammaglobulinemia,20959.66602,37,0,5.59653759
2011,389,Hearing loss,1815336.875,805,19,1.015314937
2011,803.3,Fracture of clavicle or scapula,2018212.875,115,1,165.3281097
2011,341,Other demyelinating diseases of central nervous system,585038.1875,1230,7,0.187159315
2011,374.3,Ptosis of eyelid,1285937.625,190,24,1.7089957
2011,174.3,Neoplasm of uncertain behavior of breast,333059.4688,11969,381,0.000114688
2011,145,Cancer of mouth,434219.125,1346,6,0.109891683
2011,705,Disorders of sweat glands,49893.42578,49,0,23.94813156
2011,650,Normal delivery,16631600,2289,0,56975.75391
2011,261,Vitamin deficiency,194393.0469,165,11,0.098069422
2011,334.21,Amyotrophic Lateral Sclerosis,535371.375,870,19,0.081709698
2011,362.8,Retinal hemorrhage/ischemia,191323.7344,123,0,140.303009
2011,621,Endometrial hyperplasia,770576.625,82,1,33.79972458
2011,427.22,Atrial flutter,2426337.75,159,5,34.84255981
2011,647.3,Major puerperal infection,76911.96875,30,0,92.9376297
2011,411.2,Myocardial infarction,6545113.5,4866,99,0.419229686
2011,327,Sleep disorders,889531.6875,980,18,0.21137239
2011,394.1,Mitral valve stenosis and/or aortic valve stenosis,1161072.75,2014,36,0.0876403
2011,324.1,Jakob-Creutzfeldt disease,19648.62305,153,0,1.189636111
2011,840.1,Muscle/tendon sprain,1905590.875,150,7,16.28136444
2011,507,Pleurisy; pleural effusion,2571562.75,559,9,6.190412998
2011,388,Other disorders of ear,100707.9922,353,5,0.027037891
2011,333.1,Essential tremor,416331.4375,135,7,0.863503635
2011,274.21,Chondrocalcinosis,18982.69336,38,1,0.044255387
2011,474,Acute and chronic tonsillitis,328048.1563,22,1,22.82461739
2011,389.4,Tinnitus,1295030.625,294,17,1.58111465
2011,362.4,Retinal vascular changes and abnomalities,1210037.625,387,25,0.713233173
2011,458.9,Hypotension NOS,879166.875,1002,62,0.058651417
2011,947,Urticaria,2162969.75,1376,21,0.76299727
2011,686.9,Other/Unspecified specified local infections of skin and subcutaneous tissue,971988.875,1147,14,0.27719599
2011,335,Multiple sclerosis,13678324,1961,96,4.685319424
2011,317.11,Alcoholic liver damage,501410.0625,518,5,0.456751406
2011,433.8,Late effects of cerebrovascular disease,2130759.25,425,7,7.184909344
2011,251.1,Hypoglycemia,648122.4375,713,15,0.185057834
2011,8,Intestinal infection,1260785.375,2242,22,0.151877865
2011,792,Abnormal Papanicolaou smear of cervix and cervical HPV,5107786.5,601,0,20466.9668
2011,443.8,Other specified peripheral vascular diseases,189836.6563,802,22,0.00962565
2011,526.9,Jaw disease NOS,296038.9375,148,0,279.1749268
2011,379.4,Anomalies of pupillary function,108646.0547,74,0,75.19815826
2011,289,Other diseases of blood and blood-forming organs,485758.75,475,144,0.016263559
2011,358,Myoneural disorders,156371.625,571,28,0.007208232
2011,741.6,Villonodular synovitis,464538.5,38,0,2676.796143
2011,702,Degenerative skin conditions and other dermatoses,83704.10938,1091,12,0.002521108
2011,296.2,Depression,9882127,661,16,43.50820923
2011,315.3,Mental retardation,167618.8125,1134,3,0.038808949
2011,347,Cataplexy and narcolepsy,324728.1875,127,3,1.300484776
2011,459.1,Hemorrhage NOS,330547.9375,1881,109,0.002512356
2011,694.1,Vitiligo,328418.8438,221,7,0.328243315
2011,433.31,Transient cerebral ischemia,3485625.5,677,9,9.390986443
2011,647,Infectious and parasitic complications affecting pregnancy,1020362.813,3045,59,0.02731899
2011,714.2,Juvenile rheumatoid arthritis,483944.5313,870,192,0.006610173
2011,599.3,Dysuria,2913305,19,0,210503.5938
2011,709.3,Systemic sclerosis,292559.4688,593,16,0.042505458
2011,286.12,Congenital deficiency of other clotting factors (including factor VII),152859.8594,21,0,524.3612061
2011,259,Other endocrine disorders,2284953.25,1275,34,0.567680657
2011,386.1,Meniere's disease,371528.9063,115,2,2.815290451
2011,721.1,Spondylosis without myelopathy,18324620,193,3,2725.168457
2011,614.3,Pelvic inflammatory disease (PID),105450.5469,12,0,436.5403137
2011,429.1,Heart transplant/surgery,554847.9375,6,0,24151.44727
2011,426.22,Mobitz II AV block,121431.5234,109,6,0.106118664
2011,1019,Other ill-defined and unknown causes of morbidity and mortality,2043115.25,4,29,169.1855621
2011,255.12,Hyperaldosteronism,59931.39453,198,1,0.084677875
2011,333,Extrapyramidal disease and abnormal movement disorders,278259.2188,507,7,0.102715105
2011,480.2,Viral pneumonia,451155.9063,406,8,0.295089453
2011,371.9,Chronic inflammatory disorders of orbit,41343.99219,26,1,0.306784064
2011,348.1,Coma; stupor; and brain damage,2116763.75,495,5,8.518492699
2011,245,Thyroiditis,198410.1563,41,3,1.503630996
2011,131,Protozoan infection,99713.98438,233,4,0.050172172
2011,368,Visual disturbances,1447461.5,533,7,2.643810749
2011,385.3,Cholesteatoma,761618.3125,115,0,2377.983887
2011,594.8,Renal colic,1698048.625,75,7,25.85429573
2011,757,Congenital anomalies of the integument,91440.60156,334,9,0.01309977
2011,117.2,Coccidioidomycosis,24238.19336,60,0,4.615795612
2011,695.2,Bullous dermatoses,28654.78516,128,0,3.02426672
2011,527.1,Hypertrophy of salivary gland,22860.09961,19,0,12.96116066
2011,737.1,Kyphosis (acquired),366656.7188,189,2,1.668430924
2011,525,Other diseases of the teeth and supporting structures,587059.5625,176,7,1.316978455
2011,182,Malignant neoplasm of uterus,3399914,1612,35,0.965707898
2011,356,Hereditary and idiopathic peripheral neuropathy,2878190.5,357,29,3.771209717
2011,359,Muscular dystrophies and other myopathies,894751.5,893,30,0.140848517
2011,464,Acute sinusitis,17823176,481,13,239.3362579
2011,738,Other acquired musculoskeletal deformity,1037654.875,627,3,2.689890623
2011,295.1,Schizophrenia,1329038.5,4522,148,0.012442919
2011,414.2,ASCVD,399014.9688,6802,112,0.000985267
2011,736,Other acquired deformities of limbs,159983.625,95,1,1.257563829
2011,681,Superficial cellulitis and abscess,3134630.75,644,11,6.533751011
2011,270.11,Disturbances of sulphur-bearing amino-acid metabolism,39383.22266,38,0,19.23952484
2011,263,Other nutritional deficiency,155770.4688,1007,32,0.003549119
2011,198,Secondary malignant neoplasm,1739300.125,17662,520,0.001552984
2011,574.2,Calculus of bile duct,1610168.625,363,14,2.403563976
2011,187.8,Neoplasm of uncertain behavior of male genital organs,270537.5938,6338,185,0.000294291
2011,366.3,Traumatic cataract,52334.74219,662,42,0.000464336
2011,292.5,Transient alteration of awareness,1028216.25,99,0,5034.538086
2011,362.29,Macular degeneration (senile) of retina NOS,276333,712,49,0.010317261
2011,315.2,Speech and language disorder,1842505,880,3,6.042726517
2011,174,Breast cancer,49.01467133,11969,381,2.48E-12
2011,224,Benign neoplasm of eye,188458.2969,349,0,47.98023987
2011,523.3,Periodontitis (acute or chronic),5025.479004,83,1,0.001420276
